,est_alpha,cv_mean,cv_std,size,CV_accuracy,accuracy,combs
29,1.0,0.7396360785362881,0.010530782094697363,10,0.78095,0.7394,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
30,0.0001,0.7356741873634458,0.012171024040968596,5,0.7809250000000001,0.738,"['NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
31,10.0,0.7393313491178787,0.010748135537526848,11,0.78075,0.7422,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
32,0.0001,0.7418922875700421,0.011974421359277333,5,0.780625,0.7438,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket']"
33,0.0001,0.7347592931139548,0.009888599320166207,5,0.7798,0.7324,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'AgeBracket', 'ChildrenFlag']"
34,0.0001,0.7418922875700421,0.011974421359277333,5,0.779775,0.7438,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'ChildrenFlag']"
35,0.0001,0.7317721942301689,0.01427302333929749,4,0.7796000000000001,0.7324,"['NumberChildrenAtHome', 'Married', 'Country', 'AgeBracket']"
36,0.0001,0.7317721942301689,0.01427302333929749,4,0.7796,0.7324,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'AgeBracket']"
37,0.0001,0.7317721942301689,0.01427302333929749,4,0.779575,0.7324,"['NumberChildrenAtHome', 'AreaCode', 'Married', 'AgeBracket']"
38,0.0001,0.7317721942301689,0.01427302333929749,4,0.779575,0.7324,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Married', 'AgeBracket']"
39,0.0001,0.7317721942301689,0.01427302333929749,3,0.77935,0.7324,"['NumberChildrenAtHome', 'Married', 'AgeBracket']"
40,10.0,0.7451842645026086,0.009898675837066164,11,0.777825,0.7484,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
41,0.0001,0.7478668940711344,0.009499002602365456,11,0.777825,0.7442,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
42,0.0001,0.7139728526627132,0.008836762191582276,3,0.7771,0.715,"['NumberChildrenAtHome', 'Sex', 'AgeBracket']"
43,10.0,0.7431120598683136,0.010999979207092178,11,0.77695,0.7462,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
44,10.0,0.7434778392116645,0.011095982500908609,12,0.77685,0.7462,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
45,0.0001,0.7317721942301689,0.01427302333929749,2,0.776625,0.7324,"['NumberChildrenAtHome', 'Married']"
46,0.0001,0.7317721942301689,0.01427302333929749,3,0.776625,0.7324,"['NumberChildrenAtHome', 'AreaCode', 'Married']"
47,0.0001,0.7317721942301689,0.01427302333929749,3,0.776625,0.7324,"['NumberChildrenAtHome', 'Married', 'ChildrenFlag']"
48,0.0001,0.7139728526627132,0.008836762191582276,2,0.77585,0.715,"['NumberChildrenAtHome', 'Sex']"
49,0.0001,0.727567329558122,0.008755895588574258,2,0.7680750000000001,0.73,"['NumberChildrenAtHome', 'Income']"
50,0.0001,0.7064746362271666,0.009397956438407282,2,0.7643,0.7054,"['NumberChildrenAtHome', 'EducationType']"
51,0.0001,0.7023287778124582,0.0073439744900452774,1,0.7573000000000001,0.7088,['NumberChildrenAtHome']
52,0.0001,0.6677035492932626,0.012716345408094618,1,0.6917,0.6662,['NumberCarsOwned']
53,0.0001,0.6677035492932626,0.012716345408094618,1,0.67255,0.6662,['JobType']
54,0.0001,0.6677035492932626,0.012716345408094618,1,0.67255,0.6662,['Married']
