,size,train_scores,test_scores,combs
1170,5,0.7615748860049105,0.7672,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Income', 'ChildrenFlag')"
1171,5,0.7699052963872326,0.7806,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'AgeBracket', 'ChildrenFlag')"
1172,5,0.7634163451420554,0.7742,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'JobType', 'EducationType')"
1173,5,0.7642055419151175,0.7774,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'JobType', 'Country')"
1174,5,0.7637670992634163,0.7706,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'JobType', 'Income')"
1175,5,0.7658716239915819,0.7762,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'JobType', 'AgeBracket')"
1176,5,0.7661346895826026,0.7762,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'JobType', 'ChildrenFlag')"
1177,5,0.7669238863556647,0.7782,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'EducationType', 'Country')"
1178,5,0.764380918975798,0.7732,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'EducationType', 'Income')"
1179,5,0.7711329358119958,0.7818,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'EducationType', 'AgeBracket')"
1180,5,0.7706068046299545,0.7798,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'EducationType', 'ChildrenFlag')"
1181,5,0.7625394598386531,0.7732,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'Country', 'Income')"
1182,5,0.7716590669940372,0.784,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'Country', 'AgeBracket')"
1183,5,0.7699929849175727,0.781,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'Country', 'ChildrenFlag')"
1184,5,0.7658716239915819,0.7742,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'Income', 'AgeBracket')"
1185,5,0.7672746404770256,0.7778,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'Income', 'ChildrenFlag')"
1186,5,0.7728867064188004,0.7828,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'AgeBracket', 'ChildrenFlag')"
1187,5,0.7580673447913013,0.7652,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType', 'EducationType', 'Country')"
1188,5,0.7577165906699403,0.7588,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType', 'EducationType', 'Income')"
1189,5,0.7639424763240968,0.7664,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType', 'EducationType', 'AgeBracket')"
1190,5,0.7633286566117152,0.7638,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType', 'EducationType', 'ChildrenFlag')"
1191,5,0.7580673447913013,0.7612,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType', 'Country', 'Income')"
