,size,train_scores,test_scores,combs
87,3,0.7080848824973693,0.7196,"('HomeOwnerFlag', 'NumberCarsOwned', 'ChildrenFlag')"
88,3,0.7692037881445107,0.7702,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode')"
89,3,0.7705191160996142,0.7778,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex')"
90,3,0.7710452472816556,0.7698,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Married')"
91,3,0.7690284110838302,0.7712,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'JobType')"
92,3,0.7727990178884602,0.7726,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'EducationType')"
93,3,0.7695545422658716,0.7696,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Country')"
94,3,0.7696422307962119,0.7694,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Income')"
95,3,0.7734128376008418,0.7734,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AgeBracket')"
96,3,0.7692037881445107,0.7702,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'ChildrenFlag')"
97,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'Sex')"
98,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'Married')"
99,3,0.6778323395299894,0.6764,"('HomeOwnerFlag', 'AreaCode', 'JobType')"
100,3,0.6664328305857594,0.6724,"('HomeOwnerFlag', 'AreaCode', 'EducationType')"
101,3,0.6660820764643984,0.6714,"('HomeOwnerFlag', 'AreaCode', 'Country')"
102,3,0.6891441599438793,0.6924,"('HomeOwnerFlag', 'AreaCode', 'Income')"
103,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'AgeBracket')"
104,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'ChildrenFlag')"
105,3,0.669326552086987,0.6754,"('HomeOwnerFlag', 'Sex', 'Married')"
106,3,0.676867765696247,0.6772,"('HomeOwnerFlag', 'Sex', 'JobType')"
107,3,0.6705541915117502,0.6818,"('HomeOwnerFlag', 'Sex', 'EducationType')"
108,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Sex', 'Country')"
109,3,0.6813398807435987,0.6768,"('HomeOwnerFlag', 'Sex', 'Income')"
110,3,0.6749386180287619,0.6816,"('HomeOwnerFlag', 'Sex', 'AgeBracket')"
111,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Sex', 'ChildrenFlag')"
112,3,0.6817783233952999,0.6882,"('HomeOwnerFlag', 'Married', 'JobType')"
113,3,0.6709926341634515,0.683,"('HomeOwnerFlag', 'Married', 'EducationType')"
114,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Married', 'Country')"
115,3,0.700017537706068,0.7016,"('HomeOwnerFlag', 'Married', 'Income')"
116,3,0.6779200280603297,0.686,"('HomeOwnerFlag', 'Married', 'AgeBracket')"
117,3,0.6702911259207296,0.6768,"('HomeOwnerFlag', 'Married', 'ChildrenFlag')"
118,3,0.6889687828831988,0.6944,"('HomeOwnerFlag', 'JobType', 'EducationType')"
119,3,0.6831813398807436,0.6842,"('HomeOwnerFlag', 'JobType', 'Country')"
